"brand","Count*(model)"
"AIWA",28
"AKAI",30
"AOA",5
"Altius",4
"Avel Innovations",3
"BAUHN",77
"BLAUPUNKT",63
"Blaupunkt",4
"Brooklyn",1
"CAIXUN",21
"CHiQ",43
"COOCAA",1
"Caixun",51
"Concentric Care",1
"DEVANTI",1
"DEVANTi",3
"DGTEC",9
"Dynalink",1
"EKO",97
"ELITELUX",1
"EMETE",55
"ENGLAON",25
"FFALCON",26
"FURRION",4
"Gorilla",4
"HISENSE",255
"HYUNDAI",7
"Hitachi",1
"Hubbl",1
"Hubbl Glass",2
"ILUMA",14
"JVC",111
"KOGAN",677
"KONKA",8
"Kodak",5
"LG",669
"LOEWE",14
"LSP TV",1
"Linsar",34
"METZ",5
"MYVI",3
"Monster",4
"PHILIPS",130
"PRISM+",8
"Palsonic",1
"Polaroid",11
"Q.Bell",2
"QBELL",6
"RCA",1
"S VISION",1
"SAMSUNG ELECTRONICS",1093
"SHARP",10
"SKYWORTH",14
"SMARTTECH",3
"SMTV",5
"SONIQ",7
"SONY",64
"SVISION",4
"SYLVOX",10
"Samsung",26
"ShareTV",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Skyworth",8
"Smarttech",2
"Sony",33
"Sphere",13
"Stan Cash",1
"Sylvox",33
"TAVICE",1
"TCL",93
"TEAC",24
"TECO",12
"TELEFUNKEN",3
"TENET",1
"THOMSON",3
"TOSHIBA",49
"VDT",1
"VEON",7
"Veon",3
"Viano",2
"WALTON",24
"Yokohama",1
"ZEN TV",4
"coocaa",4
"yokohama",2
